id,question_vi,kanji,choices,answer,explanation_vi
1,Từ này đọc là gì?,山,1) やま;2) やまん;3) やまら;4) やまら,1,"""山"" nghĩa là ""núi"""
2,Từ này đọc là gì?,川,1) かわら;2) かわら;3) がわ;4) かわ,4,"""川"" nghĩa là ""sông"""
3,Từ này đọc là gì?,水,1) みず;2) みす;3) みずる;4) みずら,1,"""水"" nghĩa là ""nước"""
4,Từ này đọc là gì?,火,1) ひる;2) ひこ;3) ひる;4) ひ,4,"""火"" nghĩa là ""lửa"""
5,Từ này đọc là gì?,木,1) き;2) きら;3) きる;4) きこ,1,"""木"" nghĩa là ""cây"""
6,Từ này đọc là gì?,金,1) きんん;2) きんる;3) きん;4) きむ,3,"""金"" nghĩa là ""vàng/tiền"""
7,Từ này đọc là gì?,土,1) つち;2) つちん;3) つちら;4) つちん,1,"""土"" nghĩa là ""đất"""
8,Từ này đọc là gì?,日,1) ひら;2) ひこ;3) ひ;4) ひら,3,"""日"" nghĩa là ""ngày/mặt trời"""
9,Từ này đọc là gì?,月,1) つきら;2) つきる;3) つき;4) つきら,3,"""月"" nghĩa là ""mặt trăng"""
10,Từ này đọc là gì?,年,1) とじ;2) としら;3) としる;4) とし,4,"""年"" nghĩa là ""năm"""
11,Từ này đọc là gì?,時,1) とき;2) ときる;3) ときん;4) ときん,1,"""時"" nghĩa là ""lúc"""
12,Từ này đọc là gì?,分,1) ふんる;2) ふん;3) ふむ;4) ふんら,2,"""分"" nghĩa là ""phút"""
13,Từ này đọc là gì?,上,1) oえ;2) うえ;3) うえん;4) うえこ,2,"""上"" nghĩa là ""trên"""
14,Từ này đọc là gì?,下,1) したら;2) した;3) しだ;4) じた,2,"""下"" nghĩa là ""dưới"""
15,Từ này đọc là gì?,中,1) なかん;2) なかこ;3) なか;4) なが,3,"""中"" nghĩa là ""trong"""
16,Từ này đọc là gì?,大,1) おおこ;2) おおこ;3) おおる;4) おお,4,"""大"" nghĩa là ""lớn"""
17,Từ này đọc là gì?,小,1) ちいる;2) ちいる;3) ちいん;4) ちい,4,"""小"" nghĩa là ""nhỏ"""
18,Từ này đọc là gì?,人,1) ひとる;2) ひとる;3) ひとん;4) ひと,4,"""人"" nghĩa là ""người"""
19,Từ này đọc là gì?,女,1) おん;2) おんな;3) おんなる;4) おんなら,2,"""女"" nghĩa là ""nữ"""
20,Từ này đọc là gì?,男,1) おと;2) おとこら;3) おとここ;4) おとこ,4,"""男"" nghĩa là ""nam"""
21,Từ này đọc là gì?,子,1) こん;2) こら;3) こ;4) こら,3,"""子"" nghĩa là ""trẻ"""
22,Từ này đọc là gì?,友,1) ともこ;2) ともら;3) とも;4) ともん,3,"""友"" nghĩa là ""bạn"""
23,Từ này đọc là gì?,先,1) さきる;2) さきん;3) さき;4) さきら,3,"""先"" nghĩa là ""trước"""
24,Từ này đọc là gì?,生,1) せい;2) せいん;3) せいる;4) せいる,1,"""生"" nghĩa là ""sinh"""
25,Từ này đọc là gì?,学,1) がく;2) がくら;3) がくこ;4) かく,1,"""学"" nghĩa là ""học"""
26,Từ này đọc là gì?,校,1) こう;2) こo;3) こうら;4) こうる,1,"""校"" nghĩa là ""trường"""
27,Từ này đọc là gì?,学生,1) かくせい;2) がくせいら;3) がくせ;4) がくせい,4,"""学生"" nghĩa là ""học sinh"""
28,Từ này đọc là gì?,先生,1) せんせ;2) せんせいこ;3) せんせい;4) せんせいる,3,"""先生"" nghĩa là ""giáo viên"""
29,Từ này đọc là gì?,学校,1) がっこう;2) がっこo;3) がっこ;4) がこう,1,"""学校"" nghĩa là ""trường học"""
30,Từ này đọc là gì?,日本,1) にっほん;2) にほん;3) にっぽん;4) にちほん,2,"""日本"" nghĩa là ""Nhật Bản"""
31,Từ này đọc là gì?,日本語,1) にほんごこ;2) にほんごこ;3) にほんご;4) にほん,3,"""日本語"" nghĩa là ""tiếng Nhật"""
32,Từ này đọc là gì?,車,1) くるまら;2) くるま;3) くるまん;4) くる,2,"""車"" nghĩa là ""xe hơi"""
33,Từ này đọc là gì?,電車,1) でんし;2) でんしゃる;3) でんしゃ;4) でんじゃ,3,"""電車"" nghĩa là ""tàu điện"""
34,Từ này đọc là gì?,駅,1) えきら;2) えき;3) えきる;4) えきら,2,"""駅"" nghĩa là ""ga"""
35,Từ này đọc là gì?,店,1) みせん;2) みせ;3) みせる;4) みせこ,2,"""店"" nghĩa là ""cửa hàng"""
36,Từ này đọc là gì?,会社,1) がいしゃ;2) かいじゃ;3) かいしゃ;4) かいし,3,"""会社"" nghĩa là ""công ty"""
37,Từ này đọc là gì?,家,1) いえる;2) いえら;3) いえら;4) いえ,4,"""家"" nghĩa là ""nhà"""
38,Từ này đọc là gì?,部屋,1) へやら;2) へやこ;3) へや;4) へやこ,3,"""部屋"" nghĩa là ""phòng"""
39,Từ này đọc là gì?,窓,1) まどる;2) まど;3) まどん;4) まどら,2,"""窓"" nghĩa là ""cửa sổ"""
40,Từ này đọc là gì?,扉,1) とび;2) とびらこ;3) とびら;4) とびらる,3,"""扉"" nghĩa là ""cánh cửa"""
41,Từ này đọc là gì?,机,1) つくえる;2) つく;3) つくえら;4) つくえ,4,"""机"" nghĩa là ""bàn"""
42,Từ này đọc là gì?,椅子,1) いすら;2) いすら;3) いす;4) いず,3,"""椅子"" nghĩa là ""ghế"""
43,Từ này đọc là gì?,本,1) ほんこ;2) ほんこ;3) ほむ;4) ほん,4,"""本"" nghĩa là ""sách"""
44,Từ này đọc là gì?,辞書,1) じじょ;2) ししょ;3) じしょ;4) じし,3,"""辞書"" nghĩa là ""từ điển"""
45,Từ này đọc là gì?,電話,1) でん;2) でんわ;3) でんわら;4) でんわこ,2,"""電話"" nghĩa là ""điện thoại"""
46,Từ này đọc là gì?,時計,1) とけいこ;2) とけい;3) とけ;4) とけいこ,2,"""時計"" nghĩa là ""đồng hồ"""
47,Từ này đọc là gì?,雨,1) あめら;2) あめ;3) あめる;4) あめら,2,"""雨"" nghĩa là ""mưa"""
48,Từ này đọc là gì?,雪,1) ゆきる;2) ゆきら;3) ゆき;4) ゆきこ,3,"""雪"" nghĩa là ""tuyết"""
49,Từ này đọc là gì?,空,1) そらる;2) そら;3) そらこ;4) そらら,2,"""空"" nghĩa là ""bầu trời"""
50,Từ này đọc là gì?,海,1) oみ;2) うみら;3) うみら;4) うみ,4,"""海"" nghĩa là ""biển"""
51,Từ này đọc là gì?,川口,1) かわぐ;2) かわぐち;3) かわぐちん;4) がわぐち,2,"""川口"" nghĩa là ""cửa sông"""
52,Từ này đọc là gì?,出口,1) でぐちん;2) でぐちる;3) でぐ;4) でぐち,4,"""出口"" nghĩa là ""lối ra"""
53,Từ này đọc là gì?,入口,1) いりぐちん;2) いりぐちこ;3) いりぐち;4) いりぐ,3,"""入口"" nghĩa là ""lối vào"""
54,Từ này đọc là gì?,左,1) ひだ;2) ひだり;3) ひだりら;4) ひたり,2,"""左"" nghĩa là ""trái"""
55,Từ này đọc là gì?,右,1) みぎん;2) みぎる;3) みぎ;4) みぎん,3,"""右"" nghĩa là ""phải"""
56,Từ này đọc là gì?,北,1) きだ;2) きたん;3) きたる;4) きた,4,"""北"" nghĩa là ""bắc"""
57,Từ này đọc là gì?,南,1) みなみん;2) みなみら;3) みなみ;4) みな,3,"""南"" nghĩa là ""nam"""
58,Từ này đọc là gì?,東,1) ひかし;2) ひがじ;3) ひがし;4) ひが,3,"""東"" nghĩa là ""đông"""
59,Từ này đọc là gì?,西,1) にじ;2) にし;3) にしん;4) にしん,2,"""西"" nghĩa là ""tây"""
60,Từ này đọc là gì?,午後,1) ごごん;2) ごご;3) ごごる;4) ごごこ,2,"""午後"" nghĩa là ""buổi chiều"""
61,Từ này đọc là gì?,午前,1) ごぜ;2) ごぜん;3) ごぜむ;4) ごぜんこ,2,"""午前"" nghĩa là ""buổi sáng"""
62,Từ này đọc là gì?,朝,1) あさん;2) あさ;3) あさん;4) あさる,2,"""朝"" nghĩa là ""buổi sáng"""
63,Từ này đọc là gì?,昼,1) ひるら;2) ひる;3) ひるら;4) ひるこ,2,"""昼"" nghĩa là ""buổi trưa"""
64,Từ này đọc là gì?,夜,1) よるん;2) よるる;3) よるら;4) よる,4,"""夜"" nghĩa là ""buổi tối"""
65,Từ này đọc là gì?,今,1) いまん;2) いま;3) いまん;4) いまら,2,"""今"" nghĩa là ""bây giờ"""
66,Từ này đọc là gì?,今日,1) きょ;2) きょo;3) きょう;4) きょうら,3,"""今日"" nghĩa là ""hôm nay"""
67,Từ này đọc là gì?,昨日,1) きのう;2) きのうる;3) きの;4) きのo,1,"""昨日"" nghĩa là ""hôm qua"""
68,Từ này đọc là gì?,明日,1) あしだ;2) あじた;3) あし;4) あした,4,"""明日"" nghĩa là ""ngày mai"""
69,Từ này đọc là gì?,来週,1) らいしゅう;2) らいしゅo;3) らいしゅ;4) らいじゅう,1,"""来週"" nghĩa là ""tuần sau"""
70,Từ này đọc là gì?,先週,1) せんしゅ;2) せんしゅう;3) せんじゅう;4) せんしゅo,2,"""先週"" nghĩa là ""tuần trước"""
71,Từ này đọc là gì?,来月,1) らいげつこ;2) らいげつら;3) らいげ;4) らいげつ,4,"""来月"" nghĩa là ""tháng sau"""
72,Từ này đọc là gì?,先月,1) せんげつこ;2) せんげつ;3) せんげ;4) せんげつん,2,"""先月"" nghĩa là ""tháng trước"""
73,Từ này đọc là gì?,来年,1) らいね;2) らいねんら;3) らいねん;4) らいねむ,3,"""来年"" nghĩa là ""năm sau"""
74,Từ này đọc là gì?,去年,1) きょねん;2) きょねんん;3) きょねむ;4) きょね,1,"""去年"" nghĩa là ""năm ngoái"""
75,Từ này đọc là gì?,先生方,1) せんせいかた;2) せんせいがだ;3) せんせいが;4) せんせいがた,4,"""先生方"" nghĩa là ""các thầy/cô"""
76,Từ này đọc là gì?,学生証,1) がくせいしょo;2) がくせいじょう;3) がくせいしょう;4) かくせいしょう,3,"""学生証"" nghĩa là ""thẻ sinh viên"""
77,Từ này đọc là gì?,友達,1) ともたち;2) ともだち;3) ともだ;4) ともだちる,2,"""友達"" nghĩa là ""bạn bè"""
78,Từ này đọc là gì?,名前,1) なまえ;2) なま;3) なまえこ;4) なまえん,1,"""名前"" nghĩa là ""tên"""
79,Từ này đọc là gì?,国,1) くに;2) くにる;3) くにん;4) くにこ,1,"""国"" nghĩa là ""đất nước"""
80,Từ này đọc là gì?,外国,1) がいこ;2) がいこくら;3) がいこく;4) かいこく,3,"""外国"" nghĩa là ""nước ngoài"""
81,Từ này đọc là gì?,内,1) うちら;2) oち;3) うち;4) うちん,3,"""内"" nghĩa là ""bên trong"""
82,Từ này đọc là gì?,外,1) そとん;2) そと;3) そとん;4) そとこ,2,"""外"" nghĩa là ""bên ngoài"""
83,Từ này đọc là gì?,前,1) まえる;2) まえる;3) まえこ;4) まえ,4,"""前"" nghĩa là ""trước"""
84,Từ này đọc là gì?,後,1) うしろ;2) うし;3) oしろ;4) うじろ,1,"""後"" nghĩa là ""sau"""
85,Từ này đọc là gì?,新,1) あたら;2) あだら;3) あた;4) あたらん,1,"""新"" nghĩa là ""mới"""
86,Từ này đọc là gì?,古,1) ふるこ;2) ふるん;3) ふるこ;4) ふる,4,"""古"" nghĩa là ""cũ"""
87,Từ này đọc là gì?,高,1) たか;2) たが;3) たかこ;4) だか,1,"""高"" nghĩa là ""cao/đắt"""
88,Từ này đọc là gì?,安,1) やすん;2) やすん;3) やす;4) やず,3,"""安"" nghĩa là ""rẻ"""
89,Từ này đọc là gì?,多,1) おおる;2) おおる;3) おお;4) おおる,3,"""多"" nghĩa là ""nhiều"""
90,Từ này đọc là gì?,少,1) すくら;2) ずく;3) すくこ;4) すく,4,"""少"" nghĩa là ""ít"""
91,Từ này đọc là gì?,早,1) はや;2) はやこ;3) はやこ;4) はやこ,1,"""早"" nghĩa là ""sớm/nhanh"""
92,Từ này đọc là gì?,遅,1) おそら;2) おそ;3) おそる;4) おそこ,2,"""遅"" nghĩa là ""muộn/chậm"""
93,Từ này đọc là gì?,白,1) しろる;2) しろ;3) しろら;4) じろ,2,"""白"" nghĩa là ""trắng"""
94,Từ này đọc là gì?,黒,1) くろこ;2) くろん;3) くろこ;4) くろ,4,"""黒"" nghĩa là ""đen"""
95,Từ này đọc là gì?,赤,1) あかこ;2) あが;3) あかる;4) あか,4,"""赤"" nghĩa là ""đỏ"""
96,Từ này đọc là gì?,青,1) あお;2) あおん;3) あおこ;4) あおる,1,"""青"" nghĩa là ""xanh"""
97,Từ này đọc là gì?,花,1) はな;2) はなん;3) はなる;4) はなん,1,"""花"" nghĩa là ""hoa"""
98,Từ này đọc là gì?,森,1) もりる;2) もりる;3) もりる;4) もり,4,"""森"" nghĩa là ""rừng"""
99,Từ này đọc là gì?,林,1) はやし;2) はやしる;3) はや;4) はやじ,1,"""林"" nghĩa là ""bụi cây/rừng nhỏ"""
100,Từ này đọc là gì?,道,1) みちこ;2) みちこ;3) みち;4) みちん,3,"""道"" nghĩa là ""đường"""
